,Ort,Stärke
4843,"12km N of Manley Hot Springs, Alaska",1.8
4844,"27km SW of Hawthorne, Nevada",0.6
4845,"10km NE of San Rafael del Yuma, Dominican Republic",3.05
4846,"4km N of La Verne, CA",0.92
4847,"20km N of Beatty, Nevada",0.4
4848,"Kepulauan Barat Daya, Indonesia",4.1
4849,"17km SE of Bodfish, CA",2.06
4850,"288km SE of Lambasa, Fiji",4.5
4851,"13km ESE of Lincoln, Montana",0.68
4852,"18km W of Ocotillo, CA",1.37
4853,"15km N of Manley Hot Springs, Alaska",1.0
4854,"124km S of King Salmon, Alaska",2.0
4855,"17km SE of Bodfish, CA",2.7
4856,"12km NNE of Houston, Alaska",1.8
4857,"7km NW of Anza, CA",0.85
4858,"13km WSW of Hayfork, CA",2.15
4859,"17km N of Dorado, Puerto Rico",2.27
4860,"38km ESE of Sutton-Alpine, Alaska",1.4
4861,"1km SSW of Big Bear Lake, CA",1.67
4862,"1km SSW of Big Bear Lake, CA",1.82
4863,"21km N of Beatty, Nevada",0.2
4864,"4km W of Julian, CA",1.12
4865,"22km ENE of Yerington, Nevada",0.9
4866,"9km NE of Aguanga, CA",0.3
4867,"58km WSW of Alamo, Nevada",-0.1
4868,"70km SSE of Deltana, Alaska",2.4
4869,"10km WSW of Gabbs, Nevada",1.4
4870,"4km NE of Mammoth Lakes, CA",0.19
4871,"103km W of Cantwell, Alaska",1.0
4872,"3km SW of Las Marias, Puerto Rico",2.11
4873,"22km ENE of Yerington, Nevada",0.9
4874,"7km ESE of Lake Isabella, CA",1.13
4875,"8km SE of Big Pine, CA",1.78
4876,"151km SSE of Lambasa, Fiji",4.4
4877,"61km SSW of Kaktovik, Alaska",3.1
4878,"47km W of Tanaga Volcano, Alaska",0.08
4879,"82km SE of Old Iliamna, Alaska",1.5
4880,"51km WNW of Circle Hot Springs Station, Alaska",1.2
4881,"101km ESE of King Salmon, Alaska",-0.04
4882,"3km NE of Mammoth Lakes, CA",0.17
4883,"22km ENE of Yerington, Nevada",0.8
4884,"253km ESE of Kodiak, Alaska",3.1
4885,"30km S of Middleton Island, Alaska",1.7
4886,"94km ESE of Old Iliamna, Alaska",0.71
4887,"69km SSW of Kaktovik, Alaska",2.3
4888,"40km S of Kaktovik, Alaska",2.0
4889,"4km NE of Mammoth Lakes, CA",1.05
4890,"54km SE of Arica, Chile",4.1
4891,"9km NE of Aguanga, CA",0.92
4892,"4km NE of Mammoth Lakes, CA",0.28
4893,"91km W of Kuripan, Indonesia",5.0
4894,"266km SE of Kodiak, Alaska",3.5
4895,"18km ESE of Anza, CA",0.23
4896,"1km S of Big Bear Lake, CA",1.23
4897,"66km ESE of Cape Yakataga, Alaska",1.4
4898,"28km NW of Valdez, Alaska",1.1
4899,"9km NE of Aguanga, CA",0.24
4900,"92km NNW of Talkeetna, Alaska",2.1
4901,"9km E of Mammoth Lakes, CA",-0.08
4902,"125km WNW of Arctic Village, Alaska",1.8
4903,"64km NNE of Pahrump, Nevada",-0.1
4904,"9km ENE of Aguanga, CA",0.1
4905,"77km NNE of Pahrump, Nevada",-0.3
4906,"110km N of Ruby, Alaska",1.5
4907,"76km NNE of Pahrump, Nevada",0.2
4908,"77km NNE of Pahrump, Nevada",0.2
4909,"33km E of Polson, Montana",1.26
4910,"58km SSW of Kojonup, Australia",5.3
4911,"25km ENE of Amboy, Washington",0.61
4912,"5km SE of Loma Linda, CA",1.14
4913,"54km SE of Cantwell, Alaska",2.0
4914,"46km SSW of Redoubt Volcano, Alaska",1.3
4915,"48km SW of North Nenana, Alaska",1.1
4916,"24km SSE of Cuajinicuilapa, Mexico",4.7
4917,"63km NNE of Dixon Lane-Meadow Creek, California",1.1
4918,"4km E of Banning, CA",0.76
4919,"132km WNW of Arctic Village, Alaska",2.0
4920,"9km NE of Aguanga, CA",0.2
4921,"13km NE of Borrego Springs, CA",0.87
4922,"13km NE of Borrego Springs, CA",1.1
4923,"13km NE of Borrego Springs, CA",0.76
4924,"14km NE of Borrego Springs, CA",0.52
4925,"14km N of North Nenana, Alaska",0.6
4926,"128km NNW of Arctic Village, Alaska",1.9
4927,"4km NE of Mammoth Lakes, CA",0.26
4928,"16km S of Valle Vista, CA",0.53
4929,"4km WSW of Volcano, Hawaii",1.82
4930,"5km SSE of Pahala, Hawaii",2.03
4931,"50km WNW of Valdez, Alaska",1.3
4932,"4km NE of Mammoth Lakes, CA",0.33
4933,"43km SSE of Goldfield, Nevada",0.5
4934,"249km SE of Kodiak, Alaska",4.1
4935,"62km WSW of Redoubt Volcano, Alaska",1.7
4936,Southeast of Easter Island,4.7
4937,"14km N of Borrego Springs, CA",0.87
4938,"53km SE of Obihiro, Japan",4.4
4939,"73km NNW of Talkeetna, Alaska",1.2
4940,"9km NE of Aguanga, CA",0.54
4941,"37km NNW of Valdez, Alaska",1.6
4942,"36km NNE of Talkeetna, Alaska",1.2
4943,"9km NE of Aguanga, CA",0.35
4944,"119km NNW of Arctic Village, Alaska",1.9
4945,"124km NNE of Bristol Island, South Sandwich Islands",4.4
4946,"29km WSW of Hawthorne, Nevada",0.7
4947,"18km SSE of Mammoth Lakes, CA",0.6
4948,"13km NNW of Pawnee, Oklahoma",2.4
4949,"24km S of Morton, Washington",0.38
4950,"93km SSW of L'Esperance Rock, New Zealand",4.3
4951,"14km WSW of Toms Place, CA",0.93
4952,"16km ESE of Julian, CA",0.84
4953,"32km NNE of Amboy, Washington",0.38
4954,"9km NE of Aguanga, CA",0.22
4955,"47km NNE of Yakutat, Alaska",1.4
4956,"21km N of Crescent, Oklahoma",2.7
4957,"31km NNE of Amboy, Washington",1.07
4958,"39km W of Willow, Alaska",0.9
4959,Southeast Indian Ridge,4.8
4960,"2km NW of Valle Vista, CA",0.52
4961,"13km ENE of Y, Alaska",1.2
4962,"88km SSW of Kaktovik, Alaska",2.7
4963,"4km NE of Mammoth Lakes, CA",0.3
4964,"3km SE of Pondaguitan, Philippines",4.6
4965,"44km SSE of Old Faithful Geyser, Wyoming",1.4
4966,"23km NW of Parkfield, CA",0.54
4967,"4km SSW of Anderson Springs, CA",1.11
4968,"9km NNE of Alum Rock, CA",1.84
4969,"53km NNW of Yakutat, Alaska",1.4
4970,"15km W of Toms Place, CA",0.75
4971,"21km NNE of Badger, Alaska",1.5
4972,"107km NNW of Arctic Village, Alaska",1.8
4973,Fiji region,4.7
4974,"42km E of Pablo, Montana",-0.19
4975,"27km SW of Big Lake, Alaska",0.8
4976,"22km SW of Eatonville, Washington",0.97
4977,"3km SW of Anderson Springs, CA",2.07
4978,"9km ENE of Aguanga, CA",1.07
4979,"59km SW of Kaktovik, Alaska",2.2
4980,"17km W of Johannesburg, CA",1.43
4981,"20km N of Beatty, Nevada",0.6
4982,"19km N of Beatty, Nevada",0.0
4983,"110km NNW of Arctic Village, Alaska",2.5
4984,"65km SE of Punta Cana, Dominican Republic",3.05
4985,"5km ESE of Pahala, Hawaii",2.17
4986,"79km WNW of Talkeetna, Alaska",2.3
4987,"14km NW of Fallbrook, CA",2.0
4988,"127km ESE of Middleton Island, Alaska",1.6
4989,"15km WSW of Big Lake, Alaska",1.2
4990,"9km ESE of Orkney, South Africa",2.2
4991,"24km N of Fritz Creek, Alaska",1.3
4992,"16km NE of Morgan, Utah",1.51
4993,"6km S of Palomar Observatory, CA",1.17
4994,"9km NE of Aguanga, CA",1.03
4995,"60km WNW of Talkeetna, Alaska",1.1
4996,"32km E of Tanana, Alaska",1.8
4997,"20km N of Beatty, Nevada",1.4
4998,"61km N of Unalakleet, Alaska",1.6
4999,"43km ENE of Adak, Alaska",0.1
5000,"26km W of Pandan Niog, Philippines",4.7
5001,"6km SW of Aguanga, CA",0.7
5002,"9km ENE of Villa Park, CA",1.89
5003,"126km NNW of Arctic Village, Alaska",1.9
5004,"130km S of Cape Yakataga, Alaska",1.8
5005,"52km SE of Hasaki, Japan",4.5
5006,"80km N of Yakutat, Alaska",1.7
5007,"56km ESE of Butte, Alaska",1.5
5008,"52km NNW of Yakutat, Alaska",1.3
5009,"120km NNW of Arctic Village, Alaska",1.8
5010,"34km SSW of Hawthorne, Nevada",0.1
5011,"124km NNW of Arctic Village, Alaska",1.6
5012,"18km SE of Redoubt Volcano, Alaska",1.5
5013,"126km SSE of Prudhoe Bay, Alaska",2.6
5014,"78km W of Ferndale, CA",2.6
5015,"3km SSE of Grebocice, Poland",4.7
5016,"76km NE of Punta Cana, Dominican Republic",3.11
5017,"154km E of Nago, Japan",5.6
5018,"59km S of Deltana, Alaska",1.0
5019,"9km NE of San Martin, CA",1.17
5020,"4km S of Volcano, Hawaii",1.96
5021,"5km SSW of Leilani Estates, Hawaii",2.7
5022,"24km SW of Big Lake, Alaska",1.2
5023,"3km SE of The Geysers, CA",2.1
5024,"12km S of Salton City, CA",1.25
5025,"68km SSW of Kaktovik, Alaska",1.9
5026,"92km S of Severo-Kuril'sk, Russia",5.4
5027,"165km E of Nago, Japan",5.2
5028,"119km NW of Arctic Village, Alaska",1.7
5029,"63km SSW of Kaktovik, Alaska",3.0
5030,"104km NW of Nome, Alaska",2.9
5031,"45km NNE of Agrihan, Northern Mariana Islands",4.6
5032,"50km NW of Huarmey, Peru",4.9
5033,"118km NW of Arctic Village, Alaska",1.6
5034,"9km NE of Aguanga, CA",0.38
5035,"118km NW of Arctic Village, Alaska",1.6
5036,"118km NW of Arctic Village, Alaska",1.6
5037,"4km NE of Mammoth Lakes, CA",0.19
5038,"99km NNW of Nome, Alaska",3.0
5039,"76km WSW of Talkeetna, Alaska",1.6
5040,"9km NE of Aguanga, CA",0.16
5041,"175km E of Nago, Japan",4.9
5042,"9km NE of Aguanga, CA",0.27
5043,"87km WNW of Arctic Village, Alaska",1.5
5044,"37km W of Anchor Point, Alaska",1.3
5045,"111km NNW of Arctic Village, Alaska",1.6
5046,"3km ESE of Rodeo, CA",0.73
5047,"38km NNE of Kanab, Utah",2.51
5048,"126km NNW of Arctic Village, Alaska",1.6
5049,"125km NNE of Cape Yakataga, Alaska",0.7
5050,"68km SSW of Kaktovik, Alaska",2.4
5051,Pacific-Antarctic Ridge,5.0
5052,"9km ENE of Coso Junction, CA",0.37
5053,"91km NE of Kobuk, Alaska",1.7
5054,"130km WNW of Arctic Village, Alaska",1.5
5055,"66km SSW of Redoubt Volcano, Alaska",2.0
5056,"106km NNW of Kodiak Station, Alaska",1.9
5057,"4km S of Idyllwild, CA",0.31
5058,"19km W of Macdoel, CA",2.01
5059,"8km NE of Coso Junction, CA",1.12
5060,"97km NNW of Arctic Village, Alaska",1.7
5061,"11km SW of Anza, CA",0.26
5062,"3km W of Palomar Observatory, CA",0.57
5063,"14km SSE of Volcano, Hawaii",1.95
5064,"83km NW of Arctic Village, Alaska",1.9
5065,"16km N of West Yellowstone, Montana",1.34
5066,"4km NE of Mammoth Lakes, CA",0.15
5067,"48km S of Lana'i City, Hawaii",3.66
5068,"78km W of Talkeetna, Alaska",1.4
5069,"4km NE of Mammoth Lakes, CA",0.08
5070,"157km E of Pagan, Northern Mariana Islands",5.2
5071,"39km WNW of Anchor Point, Alaska",1.1
5072,"10km ESE of Sunol, CA",1.86
5073,"123km WNW of Arctic Village, Alaska",1.4
5074,"13km S of Volcano, Hawaii",2.09
5075,"6km NW of Sabana, Puerto Rico",2.71
5076,"17km NNW of Talkeetna, Alaska",2.1
5077,"60km SSW of Deltana, Alaska",1.6
5078,"4km NE of Mammoth Lakes, CA",0.15
5079,"80km W of Willow, Alaska",1.7
5080,"82km NW of Arctic Village, Alaska",1.6
5081,"72km ENE of Cantwell, Alaska",1.1
5082,"60km S of Deltana, Alaska",1.2
5083,"5km NE of Mammoth Lakes, CA",0.35
5084,"11km E of Murrieta Hot Springs, CA",0.48
5085,"94km NNW of Arctic Village, Alaska",1.4
5086,"80km NE of Punta Cana, Dominican Republic",2.5
5087,"10km WSW of Morongo Valley, CA",1.99
5088,"10km WSW of Morongo Valley, CA",0.73
5089,"69km WNW of Talkeetna, Alaska",1.7
5090,"108km NNW of Arctic Village, Alaska",1.8
5091,"6km ENE of Pahala, Hawaii",2.25
5092,"4km NE of Mammoth Lakes, CA",0.76
5093,"4km NE of Mammoth Lakes, CA",1.37
5094,"158km E of Nago, Japan",5.1
5095,"79km S of Kaktovik, Alaska",2.1
5096,"8km NE of Cantwell, Alaska",1.1
5097,"156km E of Nago, Japan",4.9
5098,"2km S of San Sebastian, Puerto Rico",2.37
5099,"8km E of Alum Rock, CA",1.19
5100,"60km SSW of Kaktovik, Alaska",3.7
5101,"4km NE of Mammoth Lakes, CA",0.32
5102,"9km ENE of Aguanga, CA",0.36
5103,"16km ENE of Borrego Springs, CA",0.88
5104,"158km E of Nago, Japan",5.6
5105,"12km ESE of Anza, CA",0.46
5106,"87km ESE of Old Iliamna, Alaska",1.4
5107,"52km E of Cordova, Alaska",1.2
5108,"4km NE of Mammoth Lakes, CA",0.19
5109,"9km ENE of West Yellowstone, Montana",0.66
5110,"66km SSW of Kaktovik, Alaska",2.9
5111,"7km WSW of Ridgemark, CA",1.05
5112,"12km SSW of Idyllwild, CA",0.3
5113,"86km WNW of Arctic Village, Alaska",1.6
5114,"125km NNW of Arctic Village, Alaska",1.9
5115,"8km NE of Aguanga, CA",0.7
5116,"26km E of Honaunau-Napoopoo, Hawaii",1.91
5117,"69km SSW of Kaktovik, Alaska",2.4
5118,"69km W of Talkeetna, Alaska",1.1
5119,"52km NNW of Talkeetna, Alaska",1.3
5120,"8km NW of Pinnacles, CA",0.82
5121,"9km ENE of West Yellowstone, Montana",0.16
5122,"131km NW of Arctic Village, Alaska",1.6
5123,"6km WSW of Volcano, Hawaii",1.79
5124,"83km NE of Cape Yakataga, Alaska",2.0
5125,"135km NNE of Vieques, Puerto Rico",3.37
5126,"113km NNW of Arctic Village, Alaska",2.2
5127,"22km NNE of San Ardo, CA",1.14
5128,"25km NNW of Tehachapi, CA",1.5
5129,"111km WNW of Arctic Village, Alaska",1.5
5130,"0km NE of Spring Ridge, Pennsylvania",1.02
5131,"2km NNE of Tallaboa Alta, Puerto Rico",1.15
5132,"44km W of Tanaga Volcano, Alaska",0.8
5133,"167km E of Nago, Japan",4.8
5134,"35km SSW of North Pole, Alaska",1.0
5135,"4km NE of Mammoth Lakes, CA",1.75
5136,"83km NW of Talkeetna, Alaska",1.5
5137,"164km NNE of Cape Yakataga, Alaska",1.1
5138,"4km NE of Mammoth Lakes, CA",0.18
5139,"9km NE of Aguanga, CA",0.73
5140,"26km ENE of Pine Valley, CA",1.16
5141,"12km N of Castaic, CA",1.13
5142,"162km E of Nago, Japan",4.9
5143,"68km SE of Whittier, Alaska",1.9
5144,"163km E of Nago, Japan",4.9
5145,"97km W of San Antonio de los Cobres, Argentina",4.4
5146,"28km NE of Otra Banda, Dominican Republic",2.87
5147,"8km WSW of Pole Ojea, Puerto Rico",1.82
5148,"13km ESE of Lincoln, Montana",0.97
5149,"163km E of Nago, Japan",5.4
5150,"6km WSW of Volcano, Hawaii",1.73
5151,North of Ascension Island,4.7
5152,"111km NNW of Arctic Village, Alaska",1.7
5153,"6km WSW of Devore, CA",0.58
5154,"26km SW of Cascade, Idaho",2.06
5155,"12km SE of Gardnerville Ranchos, Nevada",2.0
5156,"112km NNW of Arctic Village, Alaska",2.6
5157,"172km E of Nago, Japan",4.9
5158,"96km NNW of Arctic Village, Alaska",2.2
5159,"45km NNE of Holy Cross, Alaska",1.4
5160,"4km W of Volcano, Hawaii",1.93
5161,"9km NNE of San Juan Bautista, CA",1.23
5162,"4km WNW of Volcano, Hawaii",2.33
5163,"110km NE of Noatak, Alaska",1.5
5164,"10km NE of Aguanga, CA",0.44
5165,"4km NE of Mammoth Lakes, CA",0.71
5166,"2km SSE of Cidra, Puerto Rico",2.4
5167,"7km SW of Roshtqal'a, Tajikistan",4.7
5168,"4km NE of Mammoth Lakes, CA",0.29
5169,"11km NW of Puerto Real, Puerto Rico",2.05
5170,"9km ENE of Aguanga, CA",0.44
5171,"89km NE of Punta Cana, Dominican Republic",2.78
5172,"14km S of Volcano, Hawaii",2.42
5173,"88km NNW of Talkeetna, Alaska",2.0
5174,"9km NNE of San Juan Bautista, CA",1.15
5175,"47km E of Beatty, Nevada",0.1
5176,"13km SSE of Anza, CA",0.66
5177,"14km E of Mammoth Lakes, CA",0.16
5178,"3km N of Tribunj, Croatia",4.2
5179,"9km NE of Aguanga, CA",0.39
5180,"159km SE of Kuril'sk, Russia",4.5
5181,"16km W of Y, Alaska",2.0
5182,"89km NNW of Arctic Village, Alaska",2.5
5183,"9km NE of Aguanga, CA",0.66
5184,"34km S of Atka, Alaska",3.5
5185,"71km WNW of Skagway, Alaska",1.4
5186,"63km N of Nikiski, Alaska",1.4
5187,"95km NNW of Arctic Village, Alaska",1.9
5188,"1km NE of Loma Linda, CA",0.59
5189,"9km NE of Aguanga, CA",0.37
5190,"9km NE of Aguanga, CA",0.9
5191,"26km NNE of Badger, Alaska",1.1
5192,"11km SSW of Tres Pinos, CA",0.69
5193,"54km N of Valdez, Alaska",1.1
5194,"2km SW of Volcano, Hawaii",1.91
5195,"5km WSW of Volcano, Hawaii",1.97
5196,"10km NE of Aguanga, CA",0.53
5197,"9km ENE of Aguanga, CA",0.71
5198,"159km E of Nago, Japan",4.8
5199,"10km NE of Aguanga, CA",0.29
5200,"6km NNW of The Geysers, CA",1.7
5201,"51km N of Valdez, Alaska",1.7
5202,"88km S of Kaktovik, Alaska",2.5
5203,"10km NE of Aguanga, CA",0.35
5204,"37km NW of Nikiski, Alaska",1.8
5205,"108km W of Cantwell, Alaska",0.6
5206,"8km SW of San Lucas, CA",2.35
5207,"111km NE of Punta Cana, Dominican Republic",3.38
5208,"4km SSE of Big Lake, Alaska",1.6
5209,"18km SE of Anthony, Kansas",2.09
5210,"13km S of Ngulung Wetan, Indonesia",4.2
5211,"106km SW of Ile Hunter, New Caledonia",5.1
5212,"16km NE of Little Lake, CA",0.87
5213,"36km WSW of Puerto Madero, Mexico",4.4
5214,"14km ESE of Anza, CA",0.42
5215,"9km ENE of Aguanga, CA",0.29
5216,"6km WSW of Volcano, Hawaii",1.74
5217,"167km E of Nago, Japan",5.6
5218,"5km WSW of Volcano, Hawaii",2.88
5219,"6km WSW of Volcano, Hawaii",2.21
5220,"5km WSW of Volcano, Hawaii",1.37
5221,"123km NNW of Arctic Village, Alaska",1.8
5222,"7km ENE of Whitehall, Montana",-0.54
5223,"11km ESE of Lincoln, Montana",1.36
5224,"12km S of Salton City, CA",1.03
5225,"22km NE of Fairbanks, Alaska",1.3
5226,"12km S of Salton City, CA",2.78
5227,"13km SSE of Volcano, Hawaii",1.74
5228,"7km NNW of Willow, Alaska",1.3
5229,"69km SSW of Kaktovik, Alaska",2.5
5230,"9km SW of Idyllwild, CA",0.47
5231,"57km NNE of Kobuk, Alaska",1.9
5232,"3km SE of Benton City, Washington",0.58
5233,"16km NE of Theunissen, South Africa",4.3
5234,"8km ESE of Valle Vista, CA",1.23
5235,"12km ESE of Alum Rock, CA",0.87
5236,"84km W of Anchor Point, Alaska",1.3
5237,"68km SSW of Kaktovik, Alaska",2.2
5238,"79km SSW of Kaktovik, Alaska",3.3
5239,"7km NW of The Geysers, CA",1.92
5240,"22km S of Kadzhi-Say, Kyrgyzstan",4.2
5241,"9km NE of Aguanga, CA",0.5
5242,"39km SW of Airbuaya, Indonesia",4.2
5243,"58km SSW of Kaktovik, Alaska",2.6
5244,"11km ENE of Denman, Australia",4.0
5245,"15km ESE of Pamandzi, Mayotte",4.4
5246,"125km NNW of Arctic Village, Alaska",1.8
5247,"4km ESE of Mammoth Lakes, CA",0.6
5248,"122km NNW of Arctic Village, Alaska",2.5
5249,"6km WNW of Cobb, CA",0.98
5250,"9km NE of Aguanga, CA",0.63
5251,"3km ENE of Oakland, CA",1.13
5252,"81km WNW of Talkeetna, Alaska",1.3
5253,"125km NNW of Arctic Village, Alaska",1.7
5254,"91km NNW of Talkeetna, Alaska",1.5
5255,"9km NE of Aguanga, CA",1.29
5256,"29km W of Rincon, Puerto Rico",2.65
5257,"9km NE of Aguanga, CA",0.41
5258,"2km SE of Princeton, Canada",2.18
5259,"6km WSW of Pala, CA",0.85
5260,"93km WNW of Arctic Village, Alaska",1.3
5261,"89km NNW of Arctic Village, Alaska",2.0
5262,"124km NW of Arctic Village, Alaska",1.6
5263,"10km N of Tiptonville, Tennessee",1.61
5264,"28km SW of Tremonton, Utah",0.85
5265,"4km NW of Sterling, Alaska",1.3
5266,"10km NE of Beaver Dam, Arizona",1.86
5267,"25km WNW of Cape Yakataga, Alaska",0.9
5268,"33km W of Valdez, Alaska",1.5
5269,"65km W of Valdez, Alaska",1.2
5270,"4km E of Mammoth Lakes, CA",0.37
5271,"118km NW of Arctic Village, Alaska",1.5
5272,"6km WSW of Volcano, Hawaii",1.7
5273,"63km NNW of Cape Yakataga, Alaska",0.2
5274,"42km SSE of Redoubt Volcano, Alaska",1.2
5275,"70km W of Glennallen, Alaska",1.6
5276,"131km NW of Arctic Village, Alaska",1.9
5277,"16km WSW of Kaktovik, Alaska",2.6
5278,"26km ENE of Cantwell, Alaska",1.5
5279,"1km ESE of Home Gardens, CA",0.77
5280,"8km NE of Aguanga, CA",1.04
5281,"51km NE of Cordova, Alaska",1.6
5282,"8km NE of Desert Hot Springs, CA",0.84
5283,"9km NE of Aguanga, CA",0.41
5284,"5km WSW of Volcano, Hawaii",2.07
5285,"26km E of Honaunau-Napoopoo, Hawaii",1.7
5286,"14km N of Meadow Lakes, Alaska",1.1
5287,"3km ENE of Willow, Alaska",1.7
5288,"114km NW of Arctic Village, Alaska",1.6
5289,"13km W of Puerto Real, Puerto Rico",1.93
5290,"5km ENE of Butte, Montana",1.64
5291,"6km SSW of Mojave, CA",1.37
5292,"118km NNW of Arctic Village, Alaska",1.6
5293,"63km ENE of Cape Yakataga, Alaska",1.2
5294,"9km NE of Aguanga, CA",0.35
5295,"4km SSE of Idyllwild, CA",0.66
5296,"9km NE of Aguanga, CA",0.18
5297,"37km WSW of La Ligua, Chile",4.1
5298,"4km WNW of Devore, CA",0.96
5299,"10km NE of Aguanga, CA",0.11
5300,"1km NNE of Luis Llorens Torres, Puerto Rico",1.48
5301,"19km N of Dillon, Montana",0.2
5302,"146km NW of Talkeetna, Alaska",1.1
5303,"96km NNW of Arctic Village, Alaska",1.3
5304,"1km WSW of Freeland, Washington",1.88
5305,"85km NNW of Arctic Village, Alaska",2.6
5306,"41km WSW of La Ligua, Chile",4.5
5307,"3km W of Sabana Grande, Puerto Rico",1.86
5308,"132km WSW of Gold Beach, OR",3.07
5309,"3km NNW of La Verne, CA",0.95
5310,"3km E of Loma Linda, CA",1.75
5311,"103km SSE of Old Iliamna, Alaska",1.7
5312,"128km SSE of Homer, Alaska",4.2
5313,"31km SSE of Anchorage, Alaska",1.6
5314,"104km WNW of Arctic Village, Alaska",1.6
5315,"9km NE of Aguanga, CA",0.38
5316,"2km NE of Glen Avon, CA",1.13
5317,"57km WSW of Big Lake, Alaska",1.3
5318,"41km SSW of Redoubt Volcano, Alaska",1.7
5319,"14km WNW of North Nenana, Alaska",2.0
5320,"23km SSE of Fort Irwin, CA",1.93
5321,"25km SSE of Redoubt Volcano, Alaska",0.6
5322,"7km WNW of The Geysers, CA",0.84
5323,"88km WNW of Arctic Village, Alaska",1.3
5324,"134km NW of Arctic Village, Alaska",1.8
5325,"111km WNW of Arctic Village, Alaska",1.6
5326,"12km WNW of Honoka'a, Hawaii",2.3
5327,"9km ENE of Aguanga, CA",0.55
5328,"3km ENE of Beaver Dam, Arizona",1.61
5329,"127km NW of Arctic Village, Alaska",1.7
5330,"9km NE of Aguanga, CA",0.64
5331,"4km SE of Home Gardens, CA",1.56
5332,"200km W of Abepura, Indonesia",5.8
5333,"6km NW of The Geysers, CA",1.36
5334,"63km SW of Kaktovik, Alaska",1.9
5335,"122km NW of Arctic Village, Alaska",1.7
5336,"84km E of Cape Yakataga, Alaska",1.1
5337,"59km SW of Anchor Point, Alaska",1.7
5338,"26km ENE of Pine Valley, CA",1.31
5339,"127km NW of Arctic Village, Alaska",2.3
5340,"10km NE of Aguanga, CA",0.44
5341,"124km NW of Arctic Village, Alaska",2.3
5342,"118km NW of Arctic Village, Alaska",1.9
5343,"102km NW of Arctic Village, Alaska",1.5
5344,"10km NE of Pinnacles, CA",1.29
5345,"126km NNW of Arctic Village, Alaska",1.7
5346,"116km NW of Arctic Village, Alaska",1.7
5347,Reykjanes Ridge,4.3
5348,"31km WSW of Olancha, CA",1.24
5349,"118km NW of Arctic Village, Alaska",1.7
5350,"44km NNE of Sutton-Alpine, Alaska",3.3
5351,"22km N of Yucca Valley, CA",1.04
5352,"124km NW of Arctic Village, Alaska",2.2
5353,"116km NW of Arctic Village, Alaska",1.6
5354,"118km NW of Arctic Village, Alaska",1.6
5355,"22km ENE of Yerington, Nevada",1.8
5356,"91km NW of Arctic Village, Alaska",1.6
5357,"111km SW of Anchor Point, Alaska",1.7
5358,"22km ENE of Yerington, Nevada",1.2
5359,"38km W of Big Lake, Alaska",1.3
5360,"9km E of Borrego Springs, CA",0.86
5361,"17km N of Sterling, Alaska",1.1
5362,"22km ENE of Yerington, Nevada",0.5
5363,"13km SSE of Mammoth Lakes, CA",0.45
5364,"48km WSW of Abra Pampa, Argentina",4.4
5365,"19km SSE of Goldfield, Nevada",0.1
5366,"72km SSW of Kaktovik, Alaska",2.1
5367,"9km NE of Aguanga, CA",0.3
5368,"94km NNW of Arctic Village, Alaska",1.8
5369,"37km WSW of Nikiski, Alaska",0.9
5370,"116km NW of Arctic Village, Alaska",1.4
5371,"9km NE of Aguanga, CA",0.49
5372,"9km NE of Aguanga, CA",0.32
5373,"2km E of Pinnacles, CA",0.94
5374,"126km NNW of Arctic Village, Alaska",1.5
5375,"6km NNW of The Geysers, CA",1.69
5376,"67km SSW of Kaktovik, Alaska",1.8
5377,"67km WSW of Cantwell, Alaska",1.7
5378,"4km SW of Volcano, Hawaii",1.7
5379,"9km ENE of Aguanga, CA",0.33
5380,"9km NE of Aguanga, CA",0.13
5381,"16km ESE of Maneadero, B.C., MX",2.11
5382,"63km ENE of Whittier, Alaska",1.4
5383,"94km NNW of Arctic Village, Alaska",1.9
5384,"117km NW of Arctic Village, Alaska",1.9
5385,"2km SSW of Canyondam, CA",1.25
5386,"8km SSW of Pucara, Peru",5.4
5387,"17km SSE of Jobos, Puerto Rico",2.49
5388,"22km ENE of Seeley Lake, Montana",-0.2
5389,"20km S of Knik-Fairview, Alaska",1.7
5390,"142km NW of Talkeetna, Alaska",1.2
5391,"119km NNW of Arctic Village, Alaska",1.9
5392,"118km SSE of Putre, Chile",4.6
5393,"101km NW of Arctic Village, Alaska",1.4
5394,"97km NW of Arctic Village, Alaska",1.4
5395,"10km NE of Aguanga, CA",0.61
5396,"11km NE of Aguanga, CA",-0.12
5397,"10km NE of Aguanga, CA",0.21
5398,"4km SE of The Geysers, CA",0.83
5399,"45km NW of San Antonio, Puerto Rico",2.81
5400,"128km NNW of Arctic Village, Alaska",1.8
5401,"129km S of Kobuk, Alaska",1.2
5402,"128km NW of Arctic Village, Alaska",1.4
5403,"126km NW of Arctic Village, Alaska",1.6
5404,"7km SSW of Loyola, CA",1.08
5405,"47km S of Redoubt Volcano, Alaska",1.2
5406,"42km E of Gabbs, Nevada",1.5
5407,"22km ENE of Yerington, Nevada",0.9
5408,"84km WNW of Arctic Village, Alaska",1.4
5409,"43km S of Redoubt Volcano, Alaska",0.7
5410,"10km NE of Aguanga, CA",0.55
5411,"1km ESE of Junction City, Kansas",2.5
5412,"21km NE of Y, Alaska",3.9
5413,"60km SW of Kaktovik, Alaska",2.0
5414,"95km NNW of Nikiski, Alaska",1.2
5415,"22km ENE of Yerington, Nevada",0.8
